fname time Tem kT_1 n Rs Io Rsh Iph Voc Isc FF Pm Vm Im rmsre 
00L1 27578 299.96 38.652 1.051710131E+00 9.110611047E-01 1.051179774E-10 3.885771438E+05 1.626484862E-04 3.862918076E-01 1.626344944E-04 7.560629431E-01 4.749918023E-05 3.185860722E-01 1.490941998E-04 1.494199879E-02 
00L2 27746 299.98 38.65 1.053413774E+00 9.217549832E-01 1.087388638E-10 7.761048735E+05 1.619981907E-04 3.862526029E-01 1.619866997E-04 7.562972492E-01 4.731984324E-05 3.193801327E-01 1.481606794E-04 1.653065036E-02 
00L3 27860 299.99 38.649 1.066718964E+00 8.278348579E-01 1.308597645E-10 9.852160531E+05 1.620048494E-04 3.862710748E-01 1.620048494E-04 -8.868961719E+06 -5.550000000E+02 5.550000000E+02 -5.550000000E+02 2.240575104E-02 
00L4 27978 300 38.647 1.059131284E+00 8.241198185E-01 1.173574446E-10 6.334001989E+05 1.621297967E-04 3.861907565E-01 1.621297967E-04 7.554994230E-01 4.730410717E-05 3.185976833E-01 1.484764553E-04 1.494108488E-02 
00L5 28102 300.01 38.646 1.054387021E+00 9.000998913E-01 1.100052733E-10 4.149930367E+05 1.620142900E-04 3.861378799E-01 1.620142900E-04 -8.871504016E+06 -5.550000000E+02 5.550000000E+02 -5.550000000E+02 1.127189646E-02 
00L6 28218 300.02 38.645 1.062475569E+00 8.726586289E-01 1.246592882E-10 8.123733745E+05 1.616267260E-04 3.860972334E-01 1.616267260E-04 7.562307846E-01 4.719154740E-05 3.189300247E-01 1.479682503E-04 2.350298317E-02 
00L7 28340 300.02 38.645 1.061905989E+00 8.473504058E-01 1.221549250E-10 5.168152556E+05 1.616154787E-04 3.860721347E-01 1.616154787E-04 7.542703866E-01 4.706287641E-05 3.188130184E-01 1.476200125E-04 1.527205255E-02 
00L8 28460 300.02 38.645 1.055218112E+00 9.169485321E-01 1.122624331E-10 7.478306736E+05 1.614526423E-04 3.861952241E-01 1.614516887E-04 7.562935937E-01 4.715632067E-05 3.195438576E-01 1.475731533E-04 2.123900854E-02 
00L9 28578 300.03 38.643 1.057842707E+00 8.806721218E-01 1.157224990E-10 1.138192055E+06 1.615915848E-04 3.862435385E-01 1.615915848E-04 7.564418316E-01 4.721233771E-05 3.178419624E-01 1.485407390E-04 1.845193364E-02 
0L10 28704 300.03 38.643 1.053483072E+00 9.192892973E-01 1.085533136E-10 3.722553913E+05 1.619051119E-04 3.861468453E-01 1.618931137E-04 7.551314758E-01 4.720667807E-05 3.175988628E-01 1.486337886E-04 1.215969491E-02 
0L11 28820 300.03 38.643 1.048515307E+00 9.517227624E-01 1.018588291E-10 3.403960575E+05 1.616958822E-04 3.860028622E-01 1.616323883E-04 7.555848549E-01 4.714136562E-05 3.174582134E-01 1.484942665E-04 1.315714395E-02 
0L12 28946 300.03 38.643 1.051363404E+00 9.310040845E-01 1.053921347E-10 4.299763397E+05 1.612972431E-04 3.859956140E-01 1.612972431E-04 7.549949161E-01 4.700600492E-05 3.174618443E-01 1.480688636E-04 9.324352420E-03 
0L13 29062 300.03 38.643 1.055944174E+00 9.134246483E-01 1.135708441E-10 5.401191636E+05 1.612351055E-04 3.860411404E-01 1.612259992E-04 7.556943423E-01 4.703431657E-05 3.184492928E-01 1.476984252E-04 1.981625179E-02 
0L14 29178 300.05 38.641 1.054768215E+00 8.550762612E-01 1.107847365E-10 5.675632188E+05 1.612975278E-04 3.859801945E-01 1.612866698E-04 7.559487588E-01 4.706042595E-05 3.177868935E-01 1.480893403E-04 1.446281912E-02 
