N_Fe T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.000000000E+01 1.222096082E+00 1.222742864E+00 1.222242122E+00 1.219129156E+00 1.210430423E+00 1.191213101E+00 1.153587847E+00 1.087468417E+00 1.009484273E+00 1.009756078E+00 1.010960546E+00
1.016672606E+01 1.223508453E+00 1.224059727E+00 1.223526265E+00 1.220434233E+00 1.211784951E+00 1.192590319E+00 1.154844267E+00 1.088274702E+00 1.010098676E+00 1.010390933E+00 1.011693547E+00
1.033324570E+01 1.224580953E+00 1.225050917E+00 1.224486592E+00 1.221412219E+00 1.212819840E+00 1.193696428E+00 1.155972069E+00 1.089250342E+00 1.010572379E+00 1.010875853E+00 1.012249267E+00
1.049996187E+01 1.225394317E+00 1.225801276E+00 1.225217111E+00 1.222171458E+00 1.213662326E+00 1.194680227E+00 1.157138471E+00 1.090565036E+00 1.010927316E+00 1.011231707E+00 1.012648963E+00
1.066670514E+01 1.226025569E+00 1.226387352E+00 1.225798862E+00 1.222803179E+00 1.214420664E+00 1.195674755E+00 1.158508155E+00 1.092414445E+00 1.011189547E+00 1.011483230E+00 1.012918221E+00
1.083333839E+01 1.226544849E+00 1.226876990E+00 1.226302323E+00 1.223387069E+00 1.215192972E+00 1.196809930E+00 1.160260546E+00 1.095043488E+00 1.011384418E+00 1.011653661E+00 1.013080222E+00
1.100000000E+01 1.227016063E+00 1.227331374E+00 1.226791062E+00 1.223996603E+00 1.216074585E+00 1.198222261E+00 1.162602545E+00 1.098764056E+00 1.011534875E+00 1.011762628E+00 1.013152735E+00
1.116672606E+01 1.227500023E+00 1.227808536E+00 1.227325645E+00 1.224703407E+00 1.217162579E+00 1.200058992E+00 1.165771950E+00 1.103959560E+00 1.011662087E+00 1.011826501E+00 1.013148034E+00
1.133324570E+01 1.228058687E+00 1.228367201E+00 1.227966886E+00 1.225579169E+00 1.218554923E+00 1.202471890E+00 1.170022594E+00 1.111061100E+00 1.016389502E+00 1.011860680E+00 1.013075238E+00
1.149996187E+01 1.228759401E+00 1.229069930E+00 1.228777144E+00 1.226693447E+00 1.220341215E+00 1.205594539E+00 1.175578509E+00 1.120470702E+00 1.030600424E+00 1.011883871E+00 1.012945332E+00
1.166670514E+01 1.229677976E+00 1.229984628E+00 1.229818733E+00 1.228105883E+00 1.222582621E+00 1.209498466E+00 1.182546722E+00 1.132407276E+00 1.049021236E+00 1.011924613E+00 1.012779508E+00
1.183333839E+01 1.230899380E+00 1.231183540E+00 1.231149345E+00 1.229854276E+00 1.225284877E+00 1.214135724E+00 1.190800802E+00 1.146683313E+00 1.071587629E+00 1.012029730E+00 1.012620659E+00
1.200000000E+01 1.232514542E+00 1.232739617E+00 1.232816548E+00 1.231944672E+00 1.228378977E+00 1.219299331E+00 1.199894477E+00 1.162509410E+00 1.097230563E+00 1.012272187E+00 1.012544847E+00
1.216672606E+01 1.234612048E+00 1.234720586E+00 1.234854803E+00 1.234353460E+00 1.231732815E+00 1.224651025E+00 1.209109007E+00 1.178530456E+00 1.123750558E+00 1.035795844E+00 1.012664860E+00
1.233324570E+01 1.237264190E+00 1.237181028E+00 1.237286854E+00 1.237045656E+00 1.235202887E+00 1.229838486E+00 1.217690318E+00 1.193249711E+00 1.148414095E+00 1.073781601E+00 1.013116390E+00
1.249996187E+01 1.240509423E+00 1.240152264E+00 1.240125270E+00 1.239997406E+00 1.238697491E+00 1.234641734E+00 1.225159276E+00 1.205660121E+00 1.169143940E+00 1.106538357E+00 1.014026918E+00
1.266670514E+01 1.244337460E+00 1.243631891E+00 1.243368743E+00 1.243202729E+00 1.242201732E+00 1.239029179E+00 1.231454757E+00 1.215587849E+00 1.185368839E+00 1.132348737E+00 1.050851373E+00
1.283333839E+01 1.248686889E+00 1.247579532E+00 1.246995486E+00 1.246661065E+00 1.245750215E+00 1.243105828E+00 1.236813140E+00 1.223488283E+00 1.197793875E+00 1.151903348E+00 1.079715614E+00
1.300000000E+01 1.253460880E+00 1.251925682E+00 1.250963516E+00 1.250363151E+00 1.249383867E+00 1.247004238E+00 1.241541818E+00 1.229987299E+00 1.207545362E+00 1.166932541E+00 1.101939100E+00
