Ytrue Ypred RelError Label
1.000000e+10 1.000933e+10 9.329682e-04 Jsc
1.000000e+11 9.997527e+10 2.473391e-04 Jsc
1.000000e+12 9.998242e+11 1.757797e-04 Jsc
1.000000e+13 1.000029e+13 2.898507e-05 Jsc
1.000000e+14 9.997007e+13 2.992654e-04 Jsc
1.468000e+10 1.464964e+10 2.068322e-03 Jsc
1.468000e+11 1.467371e+11 4.285005e-04 Jsc
1.468000e+12 1.468098e+12 6.695051e-05 Jsc
1.468000e+13 1.467831e+13 1.149527e-04 Jsc
2.154000e+10 2.154484e+10 2.248715e-04 Jsc
2.154000e+11 2.154090e+11 4.185004e-05 Jsc
2.154000e+12 2.153262e+12 3.426504e-04 Jsc
2.154000e+13 2.154127e+13 5.889797e-05 Jsc
3.162000e+10 3.161701e+10 9.467571e-05 Jsc
3.162000e+11 3.159721e+11 7.208985e-04 Jsc
3.162000e+12 3.161194e+12 2.550564e-04 Jsc
3.162000e+13 3.161970e+13 9.536187e-06 Jsc
4.642000e+10 4.642548e+10 1.181293e-04 Jsc
4.642000e+11 4.642235e+11 5.068633e-05 Jsc
4.642000e+12 4.642881e+12 1.898593e-04 Jsc
4.642000e+13 4.640858e+13 2.460886e-04 Jsc
6.813000e+10 6.810096e+10 4.262837e-04 Jsc
6.813000e+11 6.811788e+11 1.779137e-04 Jsc
6.813000e+12 6.811845e+12 1.695934e-04 Jsc
6.813000e+13 6.813540e+13 7.929267e-05 Jsc
