Model MSEn MRE MedRE R2
TestXg1p360e15EfC 1.107031e-03 7.209794e-02 5.920210e-02 9.906764e-01
Test1p360e15EfC 6.789065e-03 1.436021e-01 1.023308e-01 9.805814e-01
TestSv1p360e15EfC 3.465560e-03 1.349599e-01 1.298954e-01 9.635339e-01
TestXg1p360e15EfP 1.338803e-03 7.799654e-02 6.752258e-02 9.859254e-01
Test1p360e15EfP 6.580773e-04 5.899198e-02 4.831044e-02 9.959103e-01
TestSv1p360e15EfP 1.772046e-03 9.106812e-02 8.140359e-02 9.820560e-01
TestXg1p360e15RsC 9.287318e-03 2.245431e-01 2.063481e-01 8.484385e-01
Test1p360e15RsC 1.665612e-02 2.666107e-01 2.462081e-01 9.866223e-01
TestSv1p360e15RsC 9.210273e-02 1.471344e+00 5.789493e-01 -1.643188e+01
TestXg1p360e15RsP 1.727399e-03 9.280389e-02 7.767577e-02 9.859309e-01
Test1p360e15RsP 2.247370e-03 9.281031e-02 7.057665e-02 9.746613e-01
TestSv1p360e15RsP 1.707501e-03 9.554275e-02 7.624609e-02 9.471169e-01
TestXg1p360e15MbC 3.086770e-03 1.190322e-01 8.783997e-02 8.497383e-01
Test1p360e15MbC 3.704337e-02 4.760510e-01 4.736642e-01 8.960468e-01
TestSv1p360e15MbC 1.571641e-03 8.708007e-02 9.473322e-02 9.810196e-01
TestXg1p360e15YOL 3.304120e-02 3.336088e-01 3.160407e-01 8.065661e-01
Test1p360e15YOL 2.385663e-02 2.386601e-01 1.969485e-01 9.710238e-01
TestSv1p360e15YOL 1.355498e-02 1.871377e-01 1.570148e-01 9.698838e-01
TestXg1p360e15MbP 1.212355e-03 7.869347e-02 5.364867e-02 9.726347e-01
Test1p360e15MbP 2.743270e-03 1.120672e-01 9.372422e-02 9.733001e-01
TestSv1p360e15MbP 1.544555e-03 8.069036e-02 8.694160e-02 9.763692e-01
TestXg1p360e15XcC 2.500412e-03 1.149428e-01 1.001768e-01 9.875971e-01
Test1p360e15XcC 1.760821e-03 9.817402e-02 1.030608e-01 9.837747e-01
TestSv1p360e15XcC 1.727020e-03 9.521966e-02 8.811034e-02 9.892004e-01
TestXg1p360e15XcP 1.002021e-03 7.986703e-02 7.675145e-02 9.819083e-01
Test1p360e15XcP 1.105664e-03 8.697254e-02 9.332061e-02 9.949338e-01
TestSv1p360e15XcP 1.351132e-03 9.602942e-02 9.714036e-02 9.703474e-01
TestXg1p360e15NNC 1.176033e-03 7.836833e-02 7.554507e-02 9.890817e-01
Test1p360e15NNC 1.752401e-03 8.058264e-02 6.742727e-02 9.994758e-01
TestSv1p360e15NNC 3.035794e-03 9.258070e-02 4.878471e-02 8.814011e-01
TestXg1p360e15NNP 7.702960e-04 6.194109e-02 5.118277e-02 9.864960e-01
Test1p360e15NNP 1.665804e-03 8.832985e-02 8.467991e-02 9.926820e-01
TestSv1p360e15NNP 6.986826e-04 5.818381e-02 5.416599e-02 9.874887e-01
TestXg1p360e15YOL2 2.278940e-02 2.396524e-01 1.935796e-01 9.517547e-01
Test1p360e15YOL2 2.762135e-02 1.663965e-01 6.953286e-02 9.842558e-01
TestSv1p360e15YOL2 1.637634e-02 1.730042e-01 1.158918e-01 9.795541e-01
TestSv1p360e15YOfl 1.534898e-02 2.454993e-01 2.517644e-01 9.140194e-01
TestSv1p360e15YOfl2 9.602978e-03 1.474554e-01 1.312790e-01 9.655216e-01
