Ytrue Ypred RelError Label
1.000000e+10 1.284814e+10 2.848135e-01 Jsc
1.000000e+11 8.763602e+10 1.236398e-01 Jsc
1.000000e+12 1.023515e+12 2.351457e-02 Jsc
1.000000e+13 9.179193e+12 8.208066e-02 Jsc
1.000000e+14 9.738981e+13 2.610190e-02 Jsc
1.468000e+10 1.488649e+10 1.406622e-02 Jsc
1.468000e+11 1.370977e+11 6.609202e-02 Jsc
1.468000e+12 1.436307e+12 2.158948e-02 Jsc
1.468000e+13 1.587970e+13 8.172357e-02 Jsc
2.154000e+10 1.909439e+10 1.135381e-01 Jsc
2.154000e+11 2.087666e+11 3.079558e-02 Jsc
2.154000e+12 2.273077e+12 5.528173e-02 Jsc
2.154000e+13 1.973888e+13 8.361760e-02 Jsc
3.162000e+10 3.134654e+10 8.648177e-03 Jsc
3.162000e+11 3.177760e+11 4.984197e-03 Jsc
3.162000e+12 3.283949e+12 3.856711e-02 Jsc
3.162000e+13 3.024195e+13 4.358169e-02 Jsc
4.642000e+10 4.444783e+10 4.248544e-02 Jsc
4.642000e+11 4.443954e+11 4.266389e-02 Jsc
4.642000e+12 4.365376e+12 5.959166e-02 Jsc
4.642000e+13 5.400656e+13 1.634330e-01 Jsc
6.813000e+10 6.624872e+10 2.761303e-02 Jsc
6.813000e+11 7.087062e+11 4.022629e-02 Jsc
6.813000e+12 7.151410e+12 4.967129e-02 Jsc
6.813000e+13 6.287192e+13 7.717715e-02 Jsc
