fname time Tem kT_1 n Rs Io Rsh Iph Voc Isc FF Pm Vm Im rmsre 
00L1 28964 310.02 37.398 1.168329021E+00 2.970110593E+00 3.445584319E-09 5.125428898E+03 1.615347300E-04 3.158277992E-01 1.470318962E-04 6.189053382E-01 2.873995877E-05 2.335029861E-01 1.230770027E-04 2.021705386E-01 
00L2 29090 310.02 37.398 1.148672369E+00 3.008332364E+00 2.695307814E-09 4.806609983E+03 1.626840475E-04 3.157467438E-01 1.472075784E-04 6.176060545E-01 2.870652306E-05 2.327867996E-01 1.233137193E-04 2.372704982E-01 
00L3 29182 310.01 37.399 1.135829671E+00 3.004546370E+00 2.409736974E-09 4.663738655E+03 1.629179498E-04 3.134087761E-01 1.468566513E-04 6.206376936E-01 2.856557187E-05 2.321227713E-01 1.230706567E-04 2.472761255E-01 
00L4 29274 310.02 37.398 1.166697649E+00 2.967905235E+00 3.551527895E-09 5.123058592E+03 1.610234688E-04 3.146293167E-01 1.465820015E-04 6.180242175E-01 2.850265577E-05 2.316203342E-01 1.230576804E-04 1.847748189E-01 
00L5 29366 310.04 37.396 1.138644731E+00 2.997769785E+00 2.477102136E-09 4.674782262E+03 1.624002676E-04 3.145594040E-01 1.465502801E-04 6.172783830E-01 2.845577344E-05 2.321854542E-01 1.225532069E-04 2.429545057E-01 
00L6 29456 310.03 37.397 1.140227302E+00 3.009849383E+00 2.546836247E-09 4.512657295E+03 1.626813397E-04 3.143539139E-01 1.460782677E-04 6.172454968E-01 2.834408307E-05 2.318096954E-01 1.222939744E-04 2.114617546E-01 
00L7 29540 310.01 37.399 1.154474455E+00 2.981104137E+00 3.034514329E-09 4.899995596E+03 1.617348772E-04 3.142987076E-01 1.466329101E-04 6.180836125E-01 2.848533151E-05 2.318810642E-01 1.228446489E-04 2.062701554E-01 
00L8 29636 310.01 37.399 1.152645652E+00 2.983537133E+00 2.963009407E-09 4.873340982E+03 1.615218017E-04 3.144553001E-01 1.461711074E-04 6.185930830E-01 2.843318533E-05 2.319518381E-01 1.225787882E-04 2.106059601E-01 
00L9 29720 310.02 37.398 1.154902927E+00 2.986518997E+00 3.056582783E-09 4.903932077E+03 1.610222512E-04 3.143081841E-01 1.459328248E-04 6.177536474E-01 2.833505087E-05 2.316149473E-01 1.223323785E-04 2.008774677E-01 
0L10 29812 310.03 37.397 1.153714762E+00 2.983276312E+00 2.992673258E-09 4.900531516E+03 1.609327269E-04 3.193390579E-01 1.457821167E-04 6.084016260E-01 2.832348294E-05 2.318503918E-01 1.221467780E-04 2.271501933E-01 
0L11 29940 310.05 37.395 1.184605060E+00 3.007600479E+00 5.184994957E-09 6.958651830E+03 1.158079817E-04 2.975054386E-01 1.054520863E-04 6.109083780E-01 1.916576536E-05 2.182679523E-01 8.780864125E-05 3.810536706E-01 
0L12 30060 309.84 37.42 1.175719660E+00 3.033056768E+00 4.510514313E-09 5.684865063E+03 1.185405982E-04 2.981451565E-01 1.057863156E-04 6.113178231E-01 1.928076706E-05 2.190569065E-01 8.801753115E-05 3.343572072E-01 
0L13 30154 309.85 37.419 1.197153664E+00 2.995843649E+00 5.780700372E-09 6.142429080E+03 1.180344937E-04 2.982323490E-01 1.060769307E-04 6.121165216E-01 1.936465642E-05 2.190936037E-01 8.838557199E-05 2.474772297E-01 
0L14 30240 309.9 37.413 1.181356422E+00 3.033237454E+00 4.861873923E-09 5.776619724E+03 1.192073848E-04 2.982145626E-01 1.064160477E-04 6.125412883E-01 1.943888453E-05 2.190950321E-01 8.872392716E-05 3.089262439E-01 
0L15 30330 309.93 37.409 1.190965504E+00 3.009163079E+00 5.439080623E-09 7.273023707E+03 1.168736786E-04 2.982938007E-01 1.068184116E-04 6.122771210E-01 1.950915121E-05 2.191123323E-01 8.903774535E-05 5.676990968E-01 
0L16 30420 309.97 37.404 1.190670144E+00 3.010290539E+00 5.441275947E-09 7.276563226E+03 1.169324481E-04 2.983280659E-01 1.068182324E-04 6.129787873E-01 1.953371941E-05 2.191775957E-01 8.912273284E-05 5.711030884E-01 
0L17 30512 310 37.401 1.182883175E+00 3.028925698E+00 4.982313049E-09 7.096194867E+03 1.172022480E-04 2.983902763E-01 1.069604260E-04 6.125861769E-01 1.955127045E-05 2.190210072E-01 8.926663083E-05 6.012319289E-01 
0L18 30602 310.01 37.399 1.194973730E+00 2.999535604E+00 5.704170740E-09 7.330178811E+03 1.172458226E-04 2.984458103E-01 1.072857948E-04 6.118492706E-01 1.959079932E-05 2.191754408E-01 8.938408635E-05 5.547112938E-01 
0L19 30692 310.01 37.399 1.182731288E+00 3.032294772E+00 4.972149252E-09 6.790524221E+03 1.183994446E-04 2.985810352E-01 1.076940350E-04 6.122657482E-01 1.968764788E-05 2.191153988E-01 8.985026797E-05 6.171260353E-01 
