fname time Tem kT_1 Io Et Ud Iph dev 
01RV 1rv.dat 285.2 40.65 5.846E-004 2.312E-002 4.500E-001 2.793E-009 6.383E-003 
03RV 3rv.dat 287.8 40.29 1.153E-004 1.935E-002 3.667E-001 2.377E-009 1.593E-003 
05RV 5rv.dat 293.5 39.5 2.046E+000 4.392E-002 1.312E+000 1.000E-015 4.709E-003 
07RV 7rv.dat 298 38.91 1.449E-004 1.892E-002 3.304E-001 3.159E-009 3.212E-003 
09RV 9rv.dat 301.2 38.49 2.628E-003 2.586E-002 5.787E-001 2.304E-009 5.929E-003 
11RV 11rv.dat 304.7 38.05 3.062E-001 3.826E-002 1.060E+000 1.000E-015 8.185E-003 
13RV 13rv.dat 310.8 37.3 9.851E-004 2.280E-002 4.844E-001 2.499E-009 4.977E-003 
15RV 15rv.dat 316.5 36.63 4.933E-004 2.107E-002 4.628E-001 1.678E-009 2.490E-003 
17RV 17rv.dat 320.1 36.22 8.632E-003 2.824E-002 7.270E-001 1.000E-015 2.159E-002 
19RV 19rv.dat 325.9 35.58 1.178E-003 2.275E-002 5.563E-001 1.000E-015 5.872E-003 
21RV 21rv.dat 330.8 35.05 5.918E-004 2.024E-002 4.661E-001 1.000E-015 5.568E-003 
23RV 23rv.dat 334.7 34.64 2.371E-003 2.317E-002 5.670E-001 1.622E-010 9.876E-003 
25RV 25rv.dat 342.4 33.86 5.331E-003 2.417E-002 6.123E-001 4.372E-011 6.553E-003 
