T nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
290 1.324805795E+00 1.250808896E+00 7.399689900E-02 1.314184200E+00 1.249648086E+00 6.453611400E-02 1.062159500E-02 1.160810000E-03
295 1.323792773E+00 1.060992051E+00 2.628007220E-01 1.314076528E+00 1.059580596E+00 2.544959320E-01 9.716245000E-03 1.411455000E-03
300 1.323765048E+00 1.255312219E+00 6.845282900E-02 1.314977066E+00 1.254217737E+00 6.075932900E-02 8.787982000E-03 1.094482000E-03
305 1.324782611E+00 1.075665080E+00 2.491175310E-01 1.316881412E+00 1.073967856E+00 2.429135560E-01 7.901199000E-03 1.697224000E-03
310 1.326822594E+00 1.260588637E+00 6.623395700E-02 1.319703061E+00 1.259410833E+00 6.029222800E-02 7.119533000E-03 1.177804000E-03
315 1.329690124E+00 1.092439176E+00 2.372509480E-01 1.323199321E+00 1.090380955E+00 2.328183660E-01 6.490803000E-03 2.058221000E-03
320 1.333232630E+00 1.264970273E+00 6.826235700E-02 1.327178061E+00 1.263514258E+00 6.366380300E-02 6.054569000E-03 1.456015000E-03
325 1.337093635E+00 1.109546383E+00 2.275472520E-01 1.331258065E+00 1.107118671E+00 2.241393940E-01 5.835570000E-03 2.427712000E-03
330 1.341080975E+00 1.267040452E+00 7.404052300E-02 1.335230137E+00 1.265011315E+00 7.021882200E-02 5.850838000E-03 2.029137000E-03
335 1.345229977E+00 1.127185626E+00 2.180443510E-01 1.339121476E+00 1.124302193E+00 2.148192830E-01 6.108501000E-03 2.883433000E-03
340 1.348988389E+00 1.264466947E+00 8.452144200E-02 1.342374827E+00 1.261630431E+00 8.074439600E-02 6.613562000E-03 2.836516000E-03
