T file kT1 Voc Jsc FF eta Vmpp Jmpp Wph TDD TDD1 TDD11 TDD111 d N_B
340 001_340 34.101 5.236200E-1 3.615485E+1 7.911240E+1 1.497710E+1 4.413730E-1 3.393294E+1 1.000000E+2 1.000000E+10 1.000000E+10 1.000000E+10 1.000000E+10 3.800E-4 1.000E+17
340 002_340 34.101 5.232230E-1 3.596995E+1 7.910150E+1 1.488720E+1 4.409770E-1 3.375950E+1 1.000000E+2 1.468000E+10 1.468000E+10 1.468000E+10 1.468000E+10 3.800E-4 1.000E+17
340 003_340 34.101 5.226910E-1 3.572491E+1 7.908700E+1 1.476800E+1 4.404530E-1 3.352909E+1 1.000000E+2 2.154000E+10 2.154000E+10 2.154000E+10 2.154000E+10 3.800E-4 1.000E+17
340 004_340 34.101 5.219990E-1 3.541107E+1 7.906800E+1 1.461540E+1 4.397850E-1 3.323295E+1 1.000000E+2 3.162000E+10 3.162000E+10 3.162000E+10 3.162000E+10 3.800E-4 1.000E+17
340 005_340 34.101 5.211280E-1 3.502442E+1 7.904360E+1 1.442720E+1 4.389640E-1 3.286647E+1 1.000000E+2 4.642000E+10 4.642000E+10 4.642000E+10 4.642000E+10 3.800E-4 1.000E+17
340 006_340 34.101 5.200650E-1 3.456710E+1 7.901340E+1 1.420430E+1 4.379930E-1 3.243049E+1 1.000000E+2 6.813000E+10 6.813000E+10 6.813000E+10 6.813000E+10 3.800E-4 1.000E+17
340 007_340 34.101 5.187480E-1 3.404631E+1 7.898460E+1 1.394980E+1 4.368830E-1 3.193034E+1 1.000000E+2 1.000000E+11 1.000000E+11 1.000000E+11 1.000000E+11 3.800E-4 1.000E+17
340 008_340 34.101 5.172250E-1 3.347101E+1 7.894790E+1 1.366750E+1 4.356490E-1 3.137275E+1 1.000000E+2 1.468000E+11 1.468000E+11 1.468000E+11 1.468000E+11 3.800E-4 1.000E+17
340 009_340 34.101 5.154910E-1 3.284841E+1 7.886830E+1 1.335480E+1 4.340030E-1 3.077130E+1 1.000000E+2 2.154000E+11 2.154000E+11 2.154000E+11 2.154000E+11 3.800E-4 1.000E+17
340 010_340 34.101 5.135330E-1 3.218238E+1 7.881220E+1 1.302510E+1 4.319380E-1 3.015494E+1 1.000000E+2 3.162000E+11 3.162000E+11 3.162000E+11 3.162000E+11 3.800E-4 1.000E+17
340 011_340 34.101 5.113300E-1 3.147404E+1 7.874770E+1 1.267340E+1 4.297560E-1 2.948966E+1 1.000000E+2 4.642000E+11 4.642000E+11 4.642000E+11 4.642000E+11 3.800E-4 1.000E+17
340 012_340 34.101 5.088060E-1 3.072321E+1 7.868110E+1 1.229960E+1 4.274860E-1 2.877187E+1 1.000000E+2 6.813000E+11 6.813000E+11 6.813000E+11 6.813000E+11 3.800E-4 1.000E+17
340 013_340 34.101 5.059500E-1 2.992947E+1 7.860630E+1 1.190320E+1 4.251590E-1 2.799711E+1 1.000000E+2 1.000000E+12 1.000000E+12 1.000000E+12 1.000000E+12 3.800E-4 1.000E+17
340 014_340 34.101 5.028190E-1 2.909272E+1 7.847800E+1 1.148010E+1 4.218660E-1 2.721254E+1 1.000000E+2 1.468000E+12 1.468000E+12 1.468000E+12 1.468000E+12 3.800E-4 1.000E+17
340 015_340 34.101 4.993620E-1 2.821349E+1 7.837550E+1 1.104210E+1 4.185410E-1 2.638241E+1 1.000000E+2 2.154000E+12 2.154000E+12 2.154000E+12 2.154000E+12 3.800E-4 1.000E+17
340 016_340 34.101 4.954860E-1 2.729312E+1 7.827070E+1 1.058480E+1 4.153120E-1 2.548647E+1 1.000000E+2 3.162000E+12 3.162000E+12 3.162000E+12 3.162000E+12 3.800E-4 1.000E+17
340 017_340 34.101 4.913450E-1 2.633389E+1 7.810250E+1 1.010570E+1 4.110350E-1 2.458600E+1 1.000000E+2 4.642000E+12 4.642000E+12 4.642000E+12 4.642000E+12 3.800E-4 1.000E+17
340 018_340 34.101 4.867840E-1 2.533906E+1 7.797320E+1 9.617700E+0 4.069110E-1 2.363590E+1 1.000000E+2 6.813000E+12 6.813000E+12 6.813000E+12 6.813000E+12 3.800E-4 1.000E+17
340 019_340 34.101 4.819400E-1 2.431292E+1 7.777830E+1 9.113600E+0 4.023160E-1 2.265278E+1 1.000000E+2 1.000000E+13 1.000000E+13 1.000000E+13 1.000000E+13 3.800E-4 1.000E+17
340 020_340 34.101 4.767170E-1 2.326076E+1 7.761950E+1 8.607100E+0 3.974310E-1 2.165678E+1 1.000000E+2 1.468000E+13 1.468000E+13 1.468000E+13 1.468000E+13 3.800E-4 1.000E+17
340 021_340 34.101 4.712400E-1 2.218877E+1 7.739280E+1 8.092400E+0 3.922870E-1 2.062875E+1 1.000000E+2 2.154000E+13 2.154000E+13 2.154000E+13 2.154000E+13 3.800E-4 1.000E+17
340 022_340 34.101 4.653900E-1 2.110396E+1 7.720690E+1 7.582900E+0 3.868920E-1 1.959964E+1 1.000000E+2 3.162000E+13 3.162000E+13 3.162000E+13 3.162000E+13 3.800E-4 1.000E+17
340 023_340 34.101 4.593480E-1 2.001400E+1 7.694660E+1 7.074000E+0 3.810810E-1 1.856297E+1 1.000000E+2 4.642000E+13 4.642000E+13 4.642000E+13 4.642000E+13 3.800E-4 1.000E+17
340 024_340 34.101 4.529760E-1 1.892702E+1 7.672650E+1 6.578100E+0 3.754820E-1 1.751918E+1 1.000000E+2 6.813000E+13 6.813000E+13 6.813000E+13 6.813000E+13 3.800E-4 1.000E+17
340 025_340 34.101 4.463850E-1 1.785139E+1 7.644470E+1 6.091600E+0 3.689900E-1 1.650875E+1 1.000000E+2 1.000000E+14 1.000000E+14 1.000000E+14 1.000000E+14 3.800E-4 1.000E+17
