True Mean Median
9.60000E-04 9.63674E-04 9.59996E-04 9.60000E-04
9.70000E-04 2.91144E-03 9.69989E-04 9.70000E-04
9.80000E-04 9.79193E-04 9.79994E-04 9.80000E-04
9.90000E-04 9.89632E-04 9.89998E-04 9.90000E-04
1.00000E-03 9.99700E-04 9.99993E-04 1.00000E-03
1.01000E-03 1.00961E-03 1.00999E-03 1.01000E-03
1.02000E-03 1.21300E-03 1.02000E-03 1.02000E-03
1.03000E-03 1.02926E-03 1.03000E-03 1.03000E-03
1.04000E-03 1.03980E-03 1.04000E-03 1.04000E-03
1.05000E-03 1.04986E-03 1.05000E-03 1.05000E-03
