True Mean Median
1.00000E+04 1.85295E+05 5.11516E+02 1.00000E+04
1.00000E+04 1.09481E+05 2.42849E+02 1.00000E+04
1.00000E+04 2.70838E+05 1.00137E+03 1.00000E+04
1.00000E+04 2.52782E+05 7.43261E+02 1.00000E+04
1.00000E+04 1.35669E+05 5.67376E+02 1.00000E+04
1.00000E+04 1.60225E+05 5.11507E+02 1.00000E+04
1.00000E+04 2.36128E+05 3.33189E+03 1.00000E+04
1.00000E+04 1.57158E+05 4.02858E+02 1.00000E+04
1.00000E+04 1.19886E+05 1.19836E+03 1.00000E+04
1.00000E+04 8.55418E+04 1.40068E+03 1.00000E+04
