True Mean Median
2.92308E+00 3.35375E+00 1.90408E+00 2.92308E+00
2.85185E+00 3.64496E+00 3.41832E+00 2.85185E+00
2.78571E+00 5.87753E+00 3.97374E+00 2.78571E+00
2.72414E+00 7.87023E+00 5.60803E+00 2.72414E+00
2.66667E+00 1.02195E+01 8.37853E+00 2.66667E+00
2.61290E+00 1.49717E+01 1.34910E+01 2.61290E+00
2.56250E+00 1.88406E+01 1.76841E+01 2.56250E+00
2.51515E+00 1.58443E+01 1.33873E+01 2.51515E+00
2.47059E+00 1.20454E+01 6.28470E+00 2.47059E+00
2.42857E+00 1.03581E+01 7.66904E+00 2.42857E+00
