True Mean Median
6.37044E+00 1.91264E+01 3.00000E+01 6.37044E+00
6.13450E+00 1.73060E+01 1.03874E+01 6.13450E+00
5.91541E+00 1.76613E+01 1.53835E+01 5.91541E+00
5.71143E+00 1.67256E+01 1.04606E+01 5.71143E+00
5.52105E+00 1.65583E+01 1.04476E+01 5.52105E+00
5.34295E+00 1.30453E+01 6.48566E+00 5.34295E+00
5.17598E+00 1.30514E+01 6.97497E+00 5.17598E+00
5.01914E+00 1.70258E+01 2.73182E+01 5.01914E+00
4.87151E+00 7.60539E+00 2.72447E+00 4.87151E+00
4.73233E+00 5.02539E+00 3.46955E+00 4.73233E+00
