True Mean Median
1.50000E-05 6.97328E-05 4.83914E-07 1.50000E-05
1.50000E-05 1.33163E-04 1.80058E-06 1.50000E-05
1.50000E-05 8.78895E-05 8.59411E-07 1.50000E-05
1.50000E-05 8.20655E-05 9.63328E-07 1.50000E-05
1.50000E-05 7.29041E-05 5.69582E-07 1.50000E-05
1.50000E-05 3.53673E-05 2.63231E-07 1.50000E-05
1.50000E-05 6.69980E-05 2.29885E-07 1.50000E-05
1.50000E-05 1.63359E-04 1.04304E-05 1.50000E-05
1.50000E-05 1.96823E-04 2.77596E-05 1.50000E-05
1.50000E-05 1.26054E-04 2.01088E-05 1.50000E-05
