True Mean Median
9.60000E-04 5.01164E-03 1.08179E-03 9.60000E-04
9.70000E-04 4.81775E-03 9.94233E-04 9.70000E-04
9.80000E-04 3.21307E-03 1.01834E-03 9.80000E-04
9.90000E-04 4.75296E-03 1.00029E-03 9.90000E-04
1.00000E-03 2.54601E-03 1.00148E-03 1.00000E-03
1.01000E-03 4.71088E-03 1.01904E-03 1.01000E-03
1.02000E-03 3.46622E-03 1.06238E-03 1.02000E-03
1.03000E-03 1.35544E-03 1.03000E-03 1.03000E-03
1.04000E-03 1.44226E-03 1.04114E-03 1.04000E-03
1.05000E-03 1.10430E-03 1.05000E-03 1.05000E-03
