True Mean Median
1.41753E+04 1.41751E+04 1.41753E+04 1.41753E+04
8.35610E+03 8.35610E+03 8.35610E+03 8.35610E+03
5.11528E+03 5.11528E+03 5.11528E+03 5.11528E+03
3.23917E+03 3.23917E+03 3.23917E+03 3.23917E+03
2.11460E+03 2.11460E+03 2.11460E+03 2.11460E+03
1.41896E+03 1.41897E+03 1.41897E+03 1.41896E+03
9.76205E+02 9.56061E+02 9.76210E+02 9.76205E+02
6.86999E+02 6.86993E+02 6.86993E+02 6.86999E+02
4.93568E+02 4.93562E+02 4.93562E+02 4.93568E+02
3.61363E+02 3.61374E+02 3.61374E+02 3.61363E+02
