True Mean Median
1.50000E-05 4.49032E-04 4.09507E-05 1.50000E-05
1.50000E-05 3.93696E-04 4.35791E-07 1.50000E-05
1.50000E-05 3.85449E-04 2.19171E-06 1.50000E-05
1.50000E-05 4.45003E-04 5.34909E-05 1.50000E-05
1.50000E-05 2.90205E-04 2.29921E-06 1.50000E-05
1.50000E-05 4.42549E-04 5.71073E-05 1.50000E-05
1.50000E-05 2.85745E-04 2.10437E-07 1.50000E-05
1.50000E-05 2.46426E-04 8.04574E-07 1.50000E-05
1.50000E-05 2.35026E-04 2.98697E-07 1.50000E-05
1.50000E-05 3.07406E-04 2.08594E-05 1.50000E-05
