True Mean Median
6.37044E+00 1.11960E+01 5.40878E+00 6.37044E+00
6.13450E+00 1.18191E+01 9.75274E+00 6.13450E+00
5.91541E+00 1.14990E+01 6.50432E+00 5.91541E+00
5.71143E+00 1.46746E+01 1.23790E+01 5.71143E+00
5.52105E+00 1.03187E+01 6.86258E+00 5.52105E+00
5.34295E+00 1.14526E+01 8.97624E+00 5.34295E+00
5.17598E+00 1.57615E+01 1.51050E+01 5.17598E+00
5.01914E+00 1.20815E+01 1.00021E+01 5.01914E+00
4.87151E+00 1.25891E+01 1.03837E+01 4.87151E+00
4.73233E+00 9.98644E+00 7.29681E+00 4.73233E+00
