True Mean Median
1.00000E+01 6.74898E+01 2.55399E+01 1.00000E+01
2.00000E+01 1.04170E+02 6.89136E+01 2.00000E+01
3.00000E+01 7.10561E+01 2.99905E+01 3.00000E+01
4.00000E+01 8.61806E+01 4.22780E+01 4.00000E+01
5.00000E+01 8.19111E+01 4.99906E+01 5.00000E+01
6.00000E+01 1.17724E+02 7.68485E+01 6.00000E+01
7.00000E+01 1.01506E+02 6.99971E+01 7.00000E+01
8.00000E+01 8.41984E+01 8.00063E+01 8.00000E+01
9.00000E+01 8.34612E+01 9.00067E+01 9.00000E+01
1.00000E+02 8.96591E+01 9.99915E+01 1.00000E+02
