True Mean Median
1.41753E+04 1.85707E+04 1.19046E+04 1.41753E+04
8.35610E+03 1.32663E+04 6.57734E+03 8.35610E+03
5.11528E+03 1.55260E+04 4.18031E+03 5.11528E+03
3.23917E+03 1.66819E+04 2.81063E+03 3.23917E+03
2.11460E+03 1.81410E+04 2.85763E+03 2.11460E+03
1.41896E+03 2.38136E+04 5.76096E+03 1.41896E+03
9.76205E+02 1.13513E+04 4.54399E+02 9.76205E+02
6.86999E+02 9.56900E+03 2.59880E+02 6.86999E+02
4.93568E+02 3.56004E+03 2.23731E+02 4.93568E+02
3.61363E+02 5.08693E+03 1.07109E+02 3.61363E+02
