True Mean Median
2.92308E+00 9.56700E+00 5.62832E+00 2.92308E+00
2.85185E+00 9.65336E+00 6.62586E+00 2.85185E+00
2.78571E+00 9.62326E+00 5.84803E+00 2.78571E+00
2.72414E+00 1.48260E+01 1.26578E+01 2.72414E+00
2.66667E+00 1.37397E+01 1.30797E+01 2.66667E+00
2.61290E+00 1.48703E+01 1.27622E+01 2.61290E+00
2.56250E+00 1.61498E+01 1.63437E+01 2.56250E+00
2.51515E+00 1.67977E+01 1.67288E+01 2.51515E+00
2.47059E+00 1.51872E+01 1.55980E+01 2.47059E+00
2.42857E+00 1.55286E+01 1.56516E+01 2.42857E+00
