True Mean Median
1.00000E+01 4.73098E+01 6.47950E+00 1.00000E+01
2.00000E+01 6.69038E+01 2.54027E+01 2.00000E+01
3.00000E+01 5.42215E+01 8.57698E+00 3.00000E+01
4.00000E+01 5.27692E+01 1.10823E+01 4.00000E+01
5.00000E+01 8.74530E+01 1.66668E+01 5.00000E+01
6.00000E+01 7.35759E+01 1.29011E+01 6.00000E+01
7.00000E+01 6.48675E+01 6.77838E+00 7.00000E+01
8.00000E+01 5.82906E+01 5.04152E+00 8.00000E+01
9.00000E+01 2.73746E+01 3.69136E+00 9.00000E+01
1.00000E+02 1.85482E+01 3.87085E+00 1.00000E+02
