True Mean Median
9.60000E-04 1.16043E-03 1.10392E-03 9.60000E-04
9.70000E-04 1.14786E-03 1.09825E-03 9.70000E-04
9.80000E-04 1.16245E-03 1.11319E-03 9.80000E-04
9.90000E-04 1.90810E-03 1.15795E-03 9.90000E-04
1.00000E-03 1.27377E-03 1.09209E-03 1.00000E-03
1.01000E-03 1.17553E-03 1.13575E-03 1.01000E-03
1.02000E-03 1.25039E-03 1.17770E-03 1.02000E-03
1.03000E-03 1.10383E-03 1.08083E-03 1.03000E-03
1.04000E-03 1.08551E-03 1.06011E-03 1.04000E-03
1.05000E-03 1.09968E-03 1.10859E-03 1.05000E-03
