True Mean Median
1.00000E+01 1.43130E+02 4.99410E+01 1.00000E+01
2.00000E+01 1.65863E+02 1.20930E+02 2.00000E+01
3.00000E+01 1.21233E+02 3.14306E+01 3.00000E+01
4.00000E+01 1.10611E+02 5.08511E+01 4.00000E+01
5.00000E+01 1.04869E+02 1.91177E+01 5.00000E+01
6.00000E+01 1.32634E+02 2.62317E+01 6.00000E+01
7.00000E+01 1.65089E+02 3.17310E+01 7.00000E+01
8.00000E+01 5.49070E+01 9.46265E+00 8.00000E+01
9.00000E+01 3.25340E+01 6.46792E+00 9.00000E+01
1.00000E+02 5.04411E+01 1.62179E+01 1.00000E+02
