True Mean Median
1.00000E+01 6.56303E+01 5.31154E+01 1.00000E+01
2.00000E+01 7.98556E+01 4.24117E+01 2.00000E+01
3.00000E+01 7.48714E+01 3.35295E+01 3.00000E+01
4.00000E+01 8.12931E+01 3.25107E+01 4.00000E+01
5.00000E+01 9.19256E+01 2.69548E+01 5.00000E+01
6.00000E+01 8.02052E+01 3.66747E+01 6.00000E+01
7.00000E+01 7.77148E+01 2.32693E+01 7.00000E+01
8.00000E+01 6.52316E+01 4.38098E+01 8.00000E+01
9.00000E+01 1.00566E+02 9.01178E+01 9.00000E+01
1.00000E+02 9.12705E+01 8.89378E+01 1.00000E+02
