True Mean Median
6.37044E+00 6.25434E+00 6.37041E+00 6.37044E+00
6.13450E+00 6.14136E+00 6.13485E+00 6.13450E+00
5.91541E+00 5.96851E+00 5.91584E+00 5.91541E+00
5.71143E+00 5.73941E+00 5.71149E+00 5.71143E+00
5.52105E+00 5.54448E+00 5.52143E+00 5.52105E+00
5.34295E+00 5.38308E+00 5.34355E+00 5.34295E+00
5.17598E+00 5.64122E+00 5.17607E+00 5.17598E+00
5.01914E+00 5.08992E+00 5.01897E+00 5.01914E+00
4.87151E+00 4.89280E+00 4.87135E+00 4.87151E+00
4.73233E+00 4.76234E+00 4.73254E+00 4.73233E+00
