True Mean Median
1.41753E+04 1.73665E+04 1.36144E+04 1.41753E+04
8.35610E+03 1.50645E+04 7.65899E+03 8.35610E+03
5.11528E+03 1.28409E+04 7.51306E+03 5.11528E+03
3.23917E+03 1.15678E+04 5.70257E+03 3.23917E+03
2.11460E+03 9.19891E+03 4.08508E+03 2.11460E+03
1.41896E+03 5.24197E+03 1.93955E+03 1.41896E+03
9.76205E+02 2.34334E+03 4.17426E+02 9.76205E+02
6.86999E+02 3.56947E+03 3.81620E+02 6.86999E+02
4.93568E+02 1.63539E+03 2.55793E+02 4.93568E+02
3.61363E+02 8.50839E+02 1.72948E+02 3.61363E+02
