True Mean Median
1.41753E+04 1.30822E+04 1.27895E+04 1.41753E+04
8.35610E+03 8.14462E+03 7.32573E+03 8.35610E+03
5.11528E+03 7.21156E+03 4.37556E+03 5.11528E+03
3.23917E+03 4.67703E+03 2.71026E+03 3.23917E+03
2.11460E+03 5.11243E+03 1.86541E+03 2.11460E+03
1.41896E+03 3.25170E+03 1.11911E+03 1.41896E+03
9.76205E+02 1.45762E+03 3.49592E+02 9.76205E+02
6.86999E+02 3.76996E+03 4.52821E+02 6.86999E+02
4.93568E+02 1.73528E+03 4.00197E+02 4.93568E+02
3.61363E+02 9.34217E+02 2.41633E+02 3.61363E+02
