True Mean Median
2.92308E+00 2.67787E+00 2.88690E+00 2.92308E+00
2.85185E+00 2.47307E+00 2.73316E+00 2.85185E+00
2.78571E+00 2.56009E+00 2.78327E+00 2.78571E+00
2.72414E+00 2.40127E+00 2.71612E+00 2.72414E+00
2.66667E+00 2.42509E+00 2.66669E+00 2.66667E+00
2.61290E+00 2.54298E+00 2.59268E+00 2.61290E+00
2.56250E+00 4.98708E+00 2.56252E+00 2.56250E+00
2.51515E+00 2.48324E+00 2.51510E+00 2.51515E+00
2.47059E+00 3.09205E+00 2.47050E+00 2.47059E+00
2.42857E+00 2.66469E+00 2.42874E+00 2.42857E+00
