True Mean Median
8.96101E-06 1.17919E-05 9.57098E-06 8.96101E-06
1.73488E-05 2.63430E-05 1.74105E-05 1.73488E-05
3.20396E-05 6.13097E-05 6.45502E-05 3.20396E-05
5.67193E-05 1.26431E-04 1.20935E-04 5.67193E-05
9.66582E-05 2.20241E-04 2.15163E-04 9.66582E-05
1.59152E-04 4.76334E-04 3.91107E-04 1.59152E-04
2.54008E-04 4.86648E-04 1.00515E-05 2.54008E-04
3.94074E-04 5.29326E-04 6.32428E-05 3.94074E-04
5.95785E-04 1.21424E-03 1.66807E-04 5.95785E-04
8.79718E-04 9.60102E-04 5.27489E-05 8.79718E-04
