True Mean Median
1.50000E-05 1.41354E-05 1.49998E-05 1.50000E-05
1.50000E-05 3.42920E-05 1.50041E-05 1.50000E-05
1.50000E-05 1.57491E-05 1.50050E-05 1.50000E-05
1.50000E-05 1.54137E-05 1.50007E-05 1.50000E-05
1.50000E-05 1.53432E-05 1.50047E-05 1.50000E-05
1.50000E-05 1.56416E-05 1.50078E-05 1.50000E-05
1.50000E-05 1.39576E-05 1.50011E-05 1.50000E-05
1.50000E-05 1.62028E-05 1.49977E-05 1.50000E-05
1.50000E-05 1.53838E-05 1.49976E-05 1.50000E-05
1.50000E-05 1.56730E-05 1.50032E-05 1.50000E-05
