True Mean Median
1.41753E+04 1.37765E+04 1.41506E+04 1.41753E+04
8.35610E+03 8.03848E+03 8.29864E+03 8.35610E+03
5.11528E+03 4.98407E+03 5.11486E+03 5.11528E+03
3.23917E+03 3.10172E+03 3.23758E+03 3.23917E+03
2.11460E+03 2.16960E+03 2.11460E+03 2.11460E+03
1.41896E+03 3.70210E+03 1.41864E+03 1.41896E+03
9.76205E+02 2.72951E+03 9.64449E+02 9.76205E+02
6.86999E+02 9.25031E+02 6.86993E+02 6.86999E+02
4.93568E+02 1.15850E+03 4.93562E+02 4.93568E+02
3.61363E+02 4.13813E+02 3.61374E+02 3.61363E+02
