True Mean Median
8.96101E-06 8.16611E-06 8.95342E-06 8.96101E-06
1.73488E-05 1.57012E-05 1.71043E-05 1.73488E-05
3.20396E-05 3.04040E-05 3.20374E-05 3.20396E-05
5.67193E-05 5.33603E-05 5.66979E-05 5.67193E-05
9.66582E-05 9.67198E-05 9.66584E-05 9.66582E-05
1.59152E-04 1.87413E-04 1.59151E-04 1.59152E-04
2.54008E-04 2.85733E-04 2.53282E-04 2.54008E-04
3.94074E-04 3.86868E-04 3.94074E-04 3.94074E-04
5.95785E-04 6.65425E-04 5.95786E-04 5.95785E-04
8.79718E-04 8.62261E-04 8.79718E-04 8.79718E-04
