True Mean Median
1.41753E+04 1.44364E+04 1.27767E+04 1.41753E+04
8.35610E+03 1.15906E+04 7.18728E+03 8.35610E+03
5.11528E+03 9.41958E+03 4.11017E+03 5.11528E+03
3.23917E+03 9.83965E+03 2.43531E+03 3.23917E+03
2.11460E+03 1.00155E+04 1.53484E+03 2.11460E+03
1.41896E+03 5.84557E+03 1.00695E+03 1.41896E+03
9.76205E+02 7.21107E+03 5.47520E+02 9.76205E+02
6.86999E+02 1.00330E+04 4.55418E+02 6.86999E+02
4.93568E+02 8.99448E+03 2.84474E+02 4.93568E+02
3.61363E+02 1.39492E+04 1.24223E+02 3.61363E+02
