True Mean Median
6.37044E+00 1.13257E+01 8.71622E+00 6.37044E+00
6.13450E+00 8.84677E+00 7.58798E+00 6.13450E+00
5.91541E+00 9.86647E+00 8.41675E+00 5.91541E+00
5.71143E+00 1.02924E+01 9.01795E+00 5.71143E+00
5.52105E+00 8.26372E+00 6.57343E+00 5.52105E+00
5.34295E+00 1.06260E+01 8.77503E+00 5.34295E+00
5.17598E+00 1.14031E+01 8.72217E+00 5.17598E+00
5.01914E+00 1.14464E+01 9.35167E+00 5.01914E+00
4.87151E+00 1.16722E+01 1.18740E+01 4.87151E+00
4.73233E+00 8.89807E+00 8.64490E+00 4.73233E+00
