True Mean Median
8.96101E-06 6.73083E-06 6.46051E-06 8.96101E-06
1.73488E-05 2.21554E-04 1.23559E-05 1.73488E-05
3.20396E-05 4.20596E-05 2.38043E-05 3.20396E-05
5.67193E-05 1.20269E-04 5.06697E-05 5.67193E-05
9.66582E-05 1.33541E-04 1.09294E-04 9.66582E-05
1.59152E-04 4.51996E-04 2.16223E-04 1.59152E-04
2.54008E-04 9.60042E-04 1.01463E-10 2.54008E-04
3.94074E-04 1.51389E-03 5.04845E-04 3.94074E-04
5.95785E-04 2.63718E-03 1.00000E-10 5.95785E-04
8.79718E-04 3.33443E-03 2.10611E-04 8.79718E-04
