True Mean Median
6.37044E+00 1.14305E+01 9.93725E+00 6.37044E+00
6.13450E+00 1.13300E+01 6.75135E+00 6.13450E+00
5.91541E+00 9.48064E+00 5.85840E+00 5.91541E+00
5.71143E+00 1.07377E+01 7.28004E+00 5.71143E+00
5.52105E+00 8.71378E+00 5.74748E+00 5.52105E+00
5.34295E+00 7.78116E+00 4.58855E+00 5.34295E+00
5.17598E+00 1.23065E+01 8.90569E+00 5.17598E+00
5.01914E+00 5.67309E+00 3.38347E+00 5.01914E+00
4.87151E+00 4.98028E+00 4.37730E+00 4.87151E+00
4.73233E+00 4.20685E+00 3.58582E+00 4.73233E+00
