True Mean Median
1.00000E+01 2.95165E+01 2.09875E+01 1.00000E+01
2.00000E+01 2.57141E+01 5.99943E+00 2.00000E+01
3.00000E+01 2.64533E+01 2.20458E+01 3.00000E+01
4.00000E+01 2.54323E+01 1.58175E+01 4.00000E+01
5.00000E+01 4.11632E+01 2.82659E+01 5.00000E+01
6.00000E+01 3.65969E+01 9.21597E+00 6.00000E+01
7.00000E+01 3.98225E+01 1.23042E+01 7.00000E+01
8.00000E+01 3.79302E+01 5.08097E+00 8.00000E+01
9.00000E+01 3.83416E+01 9.49987E+00 9.00000E+01
1.00000E+02 3.77466E+01 7.61560E+00 1.00000E+02
