True Mean Median
1.00000E+04 7.76643E+03 6.31620E+03 1.00000E+04
1.00000E+04 3.38125E+04 7.25031E+03 1.00000E+04
1.00000E+04 8.00183E+03 9.18706E+03 1.00000E+04
1.00000E+04 1.48021E+04 5.60258E+03 1.00000E+04
1.00000E+04 3.60037E+04 1.00057E+04 1.00000E+04
1.00000E+04 5.79370E+03 3.29031E+03 1.00000E+04
1.00000E+04 9.28327E+03 5.98265E+03 1.00000E+04
1.00000E+04 4.17918E+04 9.99808E+03 1.00000E+04
1.00000E+04 3.91746E+04 9.99775E+03 1.00000E+04
1.00000E+04 3.82528E+04 1.00036E+04 1.00000E+04
