True Mean Median
9.60000E-04 2.02108E-02 7.48303E-03 9.60000E-04
9.70000E-04 2.18238E-02 7.83039E-03 9.70000E-04
9.80000E-04 1.72191E-02 7.07644E-03 9.80000E-04
9.90000E-04 1.94127E-02 5.67027E-03 9.90000E-04
1.00000E-03 1.95798E-02 9.03104E-03 1.00000E-03
1.01000E-03 1.53823E-02 3.84468E-03 1.01000E-03
1.02000E-03 6.16946E-03 2.45555E-03 1.02000E-03
1.03000E-03 2.93885E-03 1.51113E-03 1.03000E-03
1.04000E-03 1.56126E-03 1.25925E-03 1.04000E-03
1.05000E-03 1.82813E-03 1.16825E-03 1.05000E-03
