True Mean Median
2.92308E+00 2.05296E+00 1.84359E+00 2.92308E+00
2.85185E+00 1.83437E+00 1.49147E+00 2.85185E+00
2.78571E+00 2.17608E+00 1.36866E+00 2.78571E+00
2.72414E+00 2.18311E+00 1.19481E+00 2.72414E+00
2.66667E+00 2.46263E+00 8.93544E-01 2.66667E+00
2.61290E+00 2.67344E+00 7.67802E-01 2.61290E+00
2.56250E+00 9.28653E+00 5.63072E+00 2.56250E+00
2.51515E+00 5.39419E+00 1.49757E+00 2.51515E+00
2.47059E+00 5.32265E+00 2.24432E+00 2.47059E+00
2.42857E+00 7.43217E+00 3.12914E+00 2.42857E+00
