True Mean Median
6.37044E+00 5.29024E+00 4.99484E+00 6.37044E+00
6.13450E+00 5.56862E+00 5.43119E+00 6.13450E+00
5.91541E+00 5.45879E+00 5.39475E+00 5.91541E+00
5.71143E+00 5.57217E+00 5.55220E+00 5.71143E+00
5.52105E+00 5.16215E+00 5.07492E+00 5.52105E+00
5.34295E+00 5.15134E+00 5.11996E+00 5.34295E+00
5.17598E+00 5.61085E+00 4.22549E+00 5.17598E+00
5.01914E+00 4.48901E+00 4.51095E+00 5.01914E+00
4.87151E+00 4.63641E+00 4.70015E+00 4.87151E+00
4.73233E+00 4.46263E+00 4.57213E+00 4.73233E+00
