True Mean Median
1.50000E-05 6.14289E-05 3.52725E-06 1.50000E-05
1.50000E-05 3.60465E-05 7.62416E-06 1.50000E-05
1.50000E-05 2.77117E-05 1.05499E-05 1.50000E-05
1.50000E-05 1.58693E-05 1.02402E-05 1.50000E-05
1.50000E-05 4.82497E-05 1.50047E-05 1.50000E-05
1.50000E-05 5.03624E-05 1.50078E-05 1.50000E-05
1.50000E-05 4.13673E-05 4.58545E-06 1.50000E-05
1.50000E-05 6.11227E-05 1.50078E-05 1.50000E-05
1.50000E-05 5.19566E-05 1.49976E-05 1.50000E-05
1.50000E-05 2.14512E-05 1.50032E-05 1.50000E-05
