True Mean Median
2.92308E+00 2.92306E+00 2.92307E+00 2.92308E+00
2.85185E+00 2.85185E+00 2.85185E+00 2.85185E+00
2.78571E+00 2.78572E+00 2.78572E+00 2.78571E+00
2.72414E+00 2.72414E+00 2.72414E+00 2.72414E+00
2.66667E+00 2.66669E+00 2.66669E+00 2.66667E+00
2.61290E+00 2.61295E+00 2.61295E+00 2.61290E+00
2.56250E+00 3.10051E+00 2.56252E+00 2.56250E+00
2.51515E+00 2.51510E+00 2.51510E+00 2.51515E+00
2.47059E+00 2.47050E+00 2.47050E+00 2.47059E+00
2.42857E+00 2.42874E+00 2.42874E+00 2.42857E+00
