True Mean Median
8.96101E-06 8.85416E-06 8.96174E-06 8.96101E-06
1.73488E-05 1.72620E-05 1.73289E-05 1.73488E-05
3.20396E-05 3.23995E-05 3.23243E-05 3.20396E-05
5.67193E-05 5.78551E-05 5.71774E-05 5.67193E-05
9.66582E-05 9.90186E-05 9.86551E-05 9.66582E-05
1.59152E-04 1.76356E-04 1.67617E-04 1.59152E-04
2.54008E-04 3.90409E-04 3.32444E-04 2.54008E-04
3.94074E-04 5.76225E-04 4.99642E-04 3.94074E-04
5.95785E-04 8.56276E-04 7.77851E-04 5.95785E-04
8.79718E-04 1.30829E-03 1.14765E-03 8.79718E-04
