True Mean Median
6.37044E+00 6.30708E+00 4.91376E+00 6.37044E+00
6.13450E+00 6.46318E+00 5.29869E+00 6.13450E+00
5.91541E+00 6.47375E+00 5.55661E+00 5.91541E+00
5.71143E+00 6.09216E+00 5.11255E+00 5.71143E+00
5.52105E+00 5.50271E+00 4.27872E+00 5.52105E+00
5.34295E+00 5.83741E+00 4.57997E+00 5.34295E+00
5.17598E+00 6.85495E+00 5.37535E+00 5.17598E+00
5.01914E+00 3.89436E+00 3.39358E+00 5.01914E+00
4.87151E+00 3.65610E+00 3.55733E+00 4.87151E+00
4.73233E+00 3.43654E+00 2.70681E+00 4.73233E+00
