True Mean Median
8.96101E-06 6.88795E-06 6.47851E-06 8.96101E-06
1.73488E-05 1.52458E-05 1.28359E-05 1.73488E-05
3.20396E-05 3.74310E-05 2.57093E-05 3.20396E-05
5.67193E-05 7.08918E-05 5.04565E-05 5.67193E-05
9.66582E-05 1.44709E-04 1.11707E-04 9.66582E-05
1.59152E-04 2.38094E-04 1.95533E-04 1.59152E-04
2.54008E-04 2.34224E-04 1.19179E-06 2.54008E-04
3.94074E-04 7.60613E-04 3.78054E-04 3.94074E-04
5.95785E-04 8.47970E-04 6.82367E-04 5.95785E-04
8.79718E-04 9.30677E-04 4.51102E-04 8.79718E-04
