True Mean Median
2.92308E+00 2.71501E+00 2.74341E+00 2.92308E+00
2.85185E+00 2.40776E+00 2.38705E+00 2.85185E+00
2.78571E+00 2.43732E+00 2.24036E+00 2.78571E+00
2.72414E+00 2.50783E+00 1.99172E+00 2.72414E+00
2.66667E+00 3.42276E+00 2.31232E+00 2.66667E+00
2.61290E+00 4.24758E+00 4.52646E+00 2.61290E+00
2.56250E+00 6.80687E+00 4.22513E+00 2.56250E+00
2.51515E+00 5.44376E+00 4.29295E+00 2.51515E+00
2.47059E+00 4.92352E+00 3.33097E+00 2.47059E+00
2.42857E+00 6.15066E+00 4.58884E+00 2.42857E+00
