True Mean Median
6.37044E+00 1.00611E+01 7.28573E+00 6.37044E+00
6.13450E+00 1.02327E+01 7.24878E+00 6.13450E+00
5.91541E+00 9.91098E+00 6.77589E+00 5.91541E+00
5.71143E+00 1.09387E+01 6.50236E+00 5.71143E+00
5.52105E+00 1.12720E+01 1.09652E+01 5.52105E+00
5.34295E+00 1.07688E+01 8.84283E+00 5.34295E+00
5.17598E+00 1.11720E+01 8.41820E+00 5.17598E+00
5.01914E+00 7.10471E+00 6.15577E+00 5.01914E+00
4.87151E+00 6.29116E+00 4.66909E+00 4.87151E+00
4.73233E+00 6.75483E+00 5.07993E+00 4.73233E+00
