True Mean Median
6.37044E+00 8.48588E+00 5.19947E+00 6.37044E+00
6.13450E+00 7.52609E+00 5.53708E+00 6.13450E+00
5.91541E+00 8.69583E+00 5.72903E+00 5.91541E+00
5.71143E+00 5.93582E+00 5.51328E+00 5.71143E+00
5.52105E+00 6.59966E+00 5.52143E+00 5.52105E+00
5.34295E+00 6.97618E+00 5.34355E+00 5.34295E+00
5.17598E+00 1.07901E+01 5.31060E+00 5.17598E+00
5.01914E+00 5.76490E+00 5.01917E+00 5.01914E+00
4.87151E+00 6.32741E+00 4.87135E+00 4.87151E+00
4.73233E+00 4.81662E+00 4.73254E+00 4.73233E+00
