True Mean Median
9.60000E-04 1.62579E-02 2.67967E-03 9.60000E-04
9.70000E-04 1.79608E-02 3.30988E-03 9.70000E-04
9.80000E-04 1.96162E-02 2.75168E-03 9.80000E-04
9.90000E-04 1.80467E-02 4.30726E-03 9.90000E-04
1.00000E-03 1.67984E-02 2.44336E-03 1.00000E-03
1.01000E-03 1.16586E-02 1.87400E-03 1.01000E-03
1.02000E-03 1.97709E-03 1.37460E-03 1.02000E-03
1.03000E-03 1.15025E-03 1.12897E-03 1.03000E-03
1.04000E-03 1.14769E-03 1.11812E-03 1.04000E-03
1.05000E-03 1.12442E-03 1.10108E-03 1.05000E-03
