True Mean Median
2.92308E+00 4.09783E+00 4.22265E+00 2.92308E+00
2.85185E+00 5.46702E+00 5.95693E+00 2.85185E+00
2.78571E+00 6.07375E+00 6.57588E+00 2.78571E+00
2.72414E+00 7.41483E+00 7.14392E+00 2.72414E+00
2.66667E+00 9.83589E+00 8.46807E+00 2.66667E+00
2.61290E+00 1.61161E+01 1.61995E+01 2.61290E+00
2.56250E+00 1.28256E+01 1.24327E+01 2.56250E+00
2.51515E+00 1.33611E+01 1.35306E+01 2.51515E+00
2.47059E+00 1.36118E+01 1.32083E+01 2.47059E+00
2.42857E+00 1.26885E+01 1.20682E+01 2.42857E+00
