True Mean Median
9.60000E-04 1.81508E-02 4.23071E-03 9.60000E-04
9.70000E-04 2.69972E-02 1.17396E-02 9.70000E-04
9.80000E-04 2.13644E-02 1.25676E-02 9.80000E-04
9.90000E-04 2.44292E-02 5.88068E-03 9.90000E-04
1.00000E-03 1.87520E-02 5.50126E-03 1.00000E-03
1.01000E-03 1.65234E-02 3.69576E-03 1.01000E-03
1.02000E-03 7.69268E-03 1.99298E-03 1.02000E-03
1.03000E-03 2.52344E-03 1.28744E-03 1.03000E-03
1.04000E-03 2.31363E-03 1.18070E-03 1.04000E-03
1.05000E-03 1.38793E-03 1.18914E-03 1.05000E-03
