True Mean Median
6.37044E+00 5.49038E+00 6.12537E+00 6.37044E+00
6.13450E+00 4.98071E+00 5.66058E+00 6.13450E+00
5.91541E+00 5.14036E+00 5.91584E+00 5.91541E+00
5.71143E+00 4.85036E+00 5.62019E+00 5.71143E+00
5.52105E+00 5.58048E+00 5.52143E+00 5.52105E+00
5.34295E+00 4.78862E+00 4.87001E+00 5.34295E+00
5.17598E+00 5.83730E+00 4.74271E+00 5.17598E+00
5.01914E+00 4.96861E+00 5.01897E+00 5.01914E+00
4.87151E+00 4.83515E+00 4.87135E+00 4.87151E+00
4.73233E+00 4.88026E+00 4.73254E+00 4.73233E+00
