f G/w
1.0000000E+6 3.2109363E-6
8.9779585E+5 3.3173157E-6
8.0603739E+5 3.4544983E-6
7.2365703E+5 3.5562511E-6
6.4969628E+5 3.5599143E-6
5.8329463E+5 3.7667067E-6
5.2367949E+5 3.9789036E-6
4.7015728E+5 4.1984491E-6
4.2210526E+5 4.4674223E-6
3.7896435E+5 4.7376992E-6
3.4023262E+5 5.0581662E-6
3.0545943E+5 5.3811850E-6
2.7424021E+5 5.7986090E-6
2.4621173E+5 6.2213077E-6
2.2104787E+5 6.6974777E-6
1.9845586E+5 7.2113759E-6
1.7817285E+5 7.8382599E-6
1.5996284E+5 8.4741617E-6
1.4361398E+5 9.2260129E-6
1.2893603E+5 1.0035326E-5
1.1575824E+5 1.0921441E-5
1.0392726E+5 1.1884048E-5
9.3305466E+4 1.2968130E-5
8.3769261E+4 1.4115186E-5
7.5207695E+4 1.5434863E-5
6.7521156E+4 1.6900422E-5
6.0620214E+4 1.8455901E-5
5.4424577E+4 2.0288958E-5
4.8862159E+4 2.2256524E-5
4.3868244E+4 2.4468002E-5
3.9384728E+4 2.6858979E-5
3.5359445E+4 2.9525427E-5
3.1745563E+4 3.2540397E-5
2.8501035E+4 3.5844619E-5
2.5588111E+4 3.9456925E-5
2.2972900E+4 4.3388050E-5
2.0624974E+4 4.7940287E-5
1.8517016E+4 5.2900775E-5
1.6624501E+4 5.8389350E-5
1.4925408E+4 6.4502838E-5
1.3399969E+4 7.1344454E-5
1.2030437E+4 7.8700064E-5
1.0800876E+4 8.7152955E-5
9.6969820E+3 9.6042762E-5
8.7059100E+3 1.0622305E-4
7.8161300E+3 1.1760644E-4
7.0172890E+3 1.3020360E-4
6.3000930E+3 1.4400450E-4
5.6561970E+3 1.5937502E-4
5.0781110E+3 1.7642690E-4
4.5591070E+3 1.9537286E-4
4.0931470E+3 2.1655596E-4
3.6748100E+3 2.3972188E-4
3.2992300E+3 2.6580847E-4
2.9620350E+3 2.9462894E-4
2.6593020E+3 3.2652253E-4
2.3875110E+3 3.6189397E-4
2.1434970E+3 4.0143586E-4
1.9244230E+3 4.4467913E-4
1.7277390E+3 4.9419892E-4
1.5511570E+3 5.4715639E-4
1.3926220E+3 6.0591756E-4
1.2502900E+3 6.7199350E-4
1.1225050E+3 7.4426084E-4
1.0077810E+3 8.2340547E-4
9.0478100E+2 9.1110916E-4
8.1230900E+2 1.0076464E-3
7.2928800E+2 1.1144292E-3
6.5475100E+2 1.2309392E-3
5.8783300E+2 1.3571480E-3
5.2775400E+2 1.4976944E-3
4.7381500E+2 1.6533337E-3
4.2539000E+2 1.8184872E-3
3.8191300E+2 1.9997074E-3
3.4288000E+2 2.1967390E-3
3.0783600E+2 2.4130193E-3
2.7637400E+2 2.6522961E-3
2.4812700E+2 2.9135270E-3
2.2276800E+2 3.1962320E-3
2.0000000E+2 3.5133454E-3
