N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 5.899000000E-06 8.266000000E-06 1.042100000E-05 1.238600000E-05
1.600000000E+01 4.180300000E-05 4.132300000E-05 4.120000000E-05 4.111700000E-05
1.700000000E+01 1.704140000E-04 1.721600000E-04 1.669340000E-04 1.386680000E-04
1.549996187E+01 1.939900000E-05 1.928300000E-05 1.938800000E-05 1.974200000E-05
1.649996187E+01 8.535200000E-05 8.513400000E-05 8.522700000E-05 8.533900000E-05
1.674996808E+01 1.209210000E-04 1.198460000E-04 1.296600000E-04 1.294570000E-04
1.624993176E+01 5.984600000E-05 5.934700000E-05 5.934600000E-05 5.942000000E-05
1.574996808E+01 2.881800000E-05 2.834000000E-05 2.818100000E-05 2.822700000E-05
1.524993176E+01 1.277700000E-05 1.348100000E-05 1.435400000E-05 1.524600000E-05
