N_Fe N_B T d Jsc_FeB Eta_FeB Voc_FeB FF_FeB
1.000000E+10 1.778E+16 320 2.800E-4 2.860176E-1 2.372850E+1 4.302370E-1 7.713110E+1
1.468000E+10 1.778E+16 320 2.800E-4 2.846746E-1 2.358360E+1 4.297180E-1 7.711480E+1
2.154000E+10 1.778E+16 320 2.800E-4 2.827588E-1 2.337770E+1 4.289680E-1 7.709400E+1
3.162000E+10 1.778E+16 320 2.800E-4 2.800595E-1 2.308910E+1 4.279300E-1 7.706270E+1
4.642000E+10 1.778E+16 320 2.800E-4 2.763214E-1 2.267910E+1 4.265260E-1 7.697090E+1
6.813000E+10 1.778E+16 320 2.800E-4 2.712637E-1 2.214900E+1 4.246770E-1 7.690690E+1
1.000000E+11 1.778E+16 320 2.800E-4 2.646259E-1 2.146380E+1 4.223250E-1 7.682250E+1
1.468000E+11 1.778E+16 320 2.800E-4 2.562394E-1 2.061170E+1 4.194030E-1 7.671810E+1
2.154000E+11 1.778E+16 320 2.800E-4 2.461049E-1 1.958630E+1 4.158400E-1 7.655370E+1
3.162000E+11 1.778E+16 320 2.800E-4 2.344306E-1 1.844210E+1 4.118570E-1 7.640300E+1
4.642000E+11 1.778E+16 320 2.800E-4 2.215856E-1 1.720710E+1 4.073830E-1 7.624720E+1
6.813000E+11 1.778E+16 320 2.800E-4 2.079761E-1 1.590970E+1 4.025670E-1 7.601030E+1
1.000000E+12 1.778E+16 320 2.800E-4 1.939188E-1 1.460580E+1 3.973730E-1 7.581710E+1
1.468000E+12 1.778E+16 320 2.800E-4 1.795963E-1 1.328910E+1 3.918400E-1 7.553550E+1
2.154000E+12 1.778E+16 320 2.800E-4 1.651102E-1 1.199270E+1 3.858400E-1 7.530020E+1
3.162000E+12 1.778E+16 320 2.800E-4 1.505694E-1 1.070770E+1 3.794920E-1 7.495800E+1
4.642000E+12 1.778E+16 320 2.800E-4 1.361389E-1 9.460500E+0 3.726070E-1 7.460100E+1
6.813000E+12 1.778E+16 320 2.800E-4 1.220312E-1 8.275800E+0 3.652890E-1 7.426150E+1
1.000000E+13 1.778E+16 320 2.800E-4 1.084687E-1 7.156900E+0 3.575810E-1 7.380810E+1
1.468000E+13 1.778E+16 320 2.800E-4 9.564923E-2 6.125400E+0 3.494890E-1 7.329660E+1
2.154000E+13 1.778E+16 320 2.800E-4 8.372726E-2 5.191100E+0 3.409560E-1 7.273690E+1
3.162000E+13 1.778E+16 320 2.800E-4 7.280656E-2 4.361100E+0 3.320220E-1 7.216430E+1
4.642000E+13 1.778E+16 320 2.800E-4 6.294090E-2 3.627600E+0 3.227110E-1 7.143800E+1
6.813000E+13 1.778E+16 320 2.800E-4 5.413941E-2 2.990800E+0 3.130060E-1 7.059660E+1
1.000000E+14 1.778E+16 320 2.800E-4 4.637469E-2 2.444500E+0 3.028700E-1 6.961690E+1
