T d154 d184 d214 d244
d 150 180 210 240
290 1.214752437E+00 1.212561603E+00 1.210446277E+00 1.209153796E+00
295 1.215471083E+00 1.213495170E+00 1.211756585E+00 1.210350681E+00
300 1.217255292E+00 1.215292415E+00 1.213672146E+00 1.212262932E+00
305 1.219398120E+00 1.217423241E+00 1.215820226E+00 1.214422332E+00
310 1.221743511E+00 1.219481571E+00 1.217980161E+00 1.216632303E+00
315 1.223724584E+00 1.221284578E+00 1.219539720E+00 1.218127568E+00
320 1.225782659E+00 1.222706456E+00 1.221042276E+00 1.219415178E+00
325 1.227085622E+00 1.223977742E+00 1.221578269E+00 1.219650170E+00
330 1.226743278E+00 1.222988211E+00 1.220059533E+00 1.217765471E+00
335 1.223872286E+00 1.219013624E+00 1.215680825E+00 1.212852320E+00
340 1.217302012E+00 1.208642958E+00 1.204451866E+00 1.200928338E+00
