V d43s d43b V1 d51a d51b d51c d51d d73a d73b d73c d82a d82b d53a d53b d53c
-1.200000e+00 9.695508e-10 1.248423e-09 -1.200000e+00 3.389799e-10 7.598663e-09 1.375199e-10 4.370832e-10 8.079703e-10 5.216293e-10 8.087721e-10 4.988601e-10 1.132690e-09 1.488292e-09 9.768365e-10 1.376015e-09
-1.100000e+00 4.890974e-10 1.305957e-09 -1.000000e+00 1.842026e-10 1.084901e-08 2.121082e-10 1.046042e-09 9.114024e-10 6.530652e-10 8.843607e-10 6.091028e-10 1.071339e-09 1.676279e-09 1.006843e-09 1.524040e-09
-1.000000e+00 6.811187e-10 1.348437e-09 -8.000000e-01 1.814537e-10 1.627609e-08 4.526024e-10 3.869717e-09 1.074158e-09 8.228070e-10 9.315049e-10 6.248011e-10 8.986382e-10 1.877820e-09 1.122341e-09 1.665596e-09
-9.000000e-01 1.558765e-09 1.405815e-09 -6.000000e-01 3.110700e-10 2.267697e-09 4.323324e-10 2.852908e-10 1.257427e-09 9.267938e-10 9.634466e-10 7.282658e-10 8.627950e-10 2.214359e-09 1.423309e-09 1.897099e-09
-8.000000e-01 1.243331e-09 1.464626e-09 -4.000000e-01 1.160399e-08 7.131814e-09 5.229365e-10 1.793745e-10 1.480416e-09 1.035393e-09 1.239113e-09 8.952653e-10 6.626527e-10 2.601662e-09 1.583931e-09 2.185652e-09
-7.000000e-01 3.982964e-09 1.541072e-09 -2.000000e-01 1.202647e-09 6.711536e-10 5.076409e-10 2.601661e-06 1.833594e-09 1.523923e-09 1.753065e-09 1.075550e-09 6.429294e-10 3.139646e-09 1.779694e-09 2.590047e-09
-6.000000e-01 1.283757e-08 1.623756e-09 0.000000e+00 1.374373e-09 2.290939e-09 4.867931e-10 2.182375e-07 2.469291e-09 2.173994e-09 1.952232e-09 1.446063e-09 8.427671e-10 4.069168e-09 2.341805e-09 3.016444e-09
-5.000000e-01 5.612630e-09 1.720215e-09 2.000000e-01 2.287498e-08 2.580305e-08 6.151223e-09 3.467488e-07 3.321093e-09 3.233805e-09 3.381545e-09 2.481693e-09 2.205789e-08 5.596514e-09 4.446324e-09 3.055675e-08
-4.000000e-01 4.344779e-09 1.830956e-09 4.000000e-01 3.752424e-07 3.025635e-07 5.800271e-07 1.201847e-07 1.851985e-06 5.510791e-07 1.272706e-05 1.272668e-06 3.431792e-07 2.429639e-08 2.574687e-08 4.190977e-07
-3.000000e-01 4.646874e-09 1.965691e-09 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
-2.000000e-01 3.191762e-09 2.149293e-09 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
-1.000000e-01 2.291620e-09 2.385340e-09 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.000000e+00 2.887930e-09 2.745138e-09 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.000000e-01 1.072583e-08 3.394593e-09 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2.000000e-01 1.111975e-07 5.278160e-09 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
3.000000e-01 4.405286e-07 1.169041e-08 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
