V d31 V1 d41 V2 d63a d63b d83a d83b d62a d62b
-4.000000e-01 8.908532e+18 -1.200000e+00 6.178753e+17 -1.200000e+00 1.166938e+18 1.746697e+18 9.762052e+17 2.273737e+18 1.238677e+18 1.063227e+18
-2.000000e-01 6.262914e+12 -1.100000e+00 5.952281e+17 -1.000000e+00 8.005727e+17 1.255301e+18 7.649718e+17 1.883801e+18 9.897239e+17 8.749050e+17
0.000000e+00 2.409842e+13 -9.000000e-01 5.480617e+17 -8.000000e-01 6.510024e+17 1.021747e+18 5.813268e+17 1.484790e+18 7.762181e+17 7.013932e+17
NaN NaN -8.000000e-01 5.092521e+17 -6.000000e-01 4.908981e+17 7.195216e+17 4.864165e+17 1.112240e+18 5.987253e+17 5.459894e+17
NaN NaN -7.000000e-01 4.672117e+17 -4.000000e-01 3.197218e+17 5.532100e+17 3.535504e+17 7.770572e+17 4.247015e+17 4.517784e+17
NaN NaN -6.000000e-01 4.303322e+17 -2.000000e-01 2.173488e+17 3.982374e+17 2.014820e+17 5.226012e+17 2.860037e+17 3.160964e+17
NaN NaN -5.000000e-01 3.699423e+17 0.000000e+00 1.280486e+17 2.480925e+17 1.166413e+17 3.135271e+17 1.623600e+17 1.965549e+17
NaN NaN -4.000000e-01 3.312664e+17 NaN NaN NaN NaN NaN NaN NaN
NaN NaN -3.000000e-01 2.761931e+17 NaN NaN NaN NaN NaN NaN NaN
NaN NaN -2.000000e-01 2.315989e+17 NaN NaN NaN NaN NaN NaN NaN
NaN NaN -1.000000e-01 1.818953e+17 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 0.000000e+00 1.363707e+17 NaN NaN NaN NaN NaN NaN NaN
