V d44s d44b V1 d52a d52b d54a d54b d54c d74a d74b
-1.200000e+00 2.808933e+17 1.309111e+17 -1.200000e+00 4.019739e+17 2.734686e+17 1.150642e+17 1.281274e+17 3.566159e+17 5.297281e+18 2.566258e+18
-1.100000e+00 2.712900e+17 1.212002e+17 -1.000000e+00 3.525585e+17 1.798041e+17 1.462875e+17 1.565234e+17 2.843992e+17 4.208614e+18 2.167386e+18
-1.000000e+00 2.408640e+17 1.113027e+17 -8.000000e-01 2.917512e+17 1.319374e+17 1.775554e+17 1.047827e+17 2.231002e+17 3.299138e+18 1.719498e+18
-9.000000e-01 2.143162e+17 1.029147e+17 -6.000000e-01 2.314628e+17 6.194331e+16 2.052759e+17 3.366309e+16 1.654785e+17 2.583010e+18 1.308194e+18
-8.000000e-01 1.946770e+17 1.101742e+17 -4.000000e-01 1.650583e+17 3.201354e+16 1.666967e+17 4.090726e+15 1.132841e+17 1.703374e+18 8.403072e+17
-7.000000e-01 1.721538e+17 9.754185e+16 -2.000000e-01 9.751200e+16 2.260959e+16 1.287690e+17 1.292399e+14 7.127466e+16 1.203536e+18 5.770950e+17
-6.000000e-01 1.475534e+17 9.420411e+16 0.000000e+00 3.436603e+16 1.682130e+16 7.751921e+16 1.254983e+15 3.520613e+16 6.724366e+17 3.192652e+17
-5.000000e-01 1.302224e+17 8.023530e+16 NaN NaN NaN NaN NaN NaN NaN NaN
-4.000000e-01 1.082603e+17 7.653173e+16 NaN NaN NaN NaN NaN NaN NaN NaN
-3.000000e-01 9.046301e+16 6.917040e+16 NaN NaN NaN NaN NaN NaN NaN NaN
-2.000000e-01 7.429681e+16 6.022886e+16 NaN NaN NaN NaN NaN NaN NaN NaN
-1.000000e-01 6.257951e+16 4.904742e+16 NaN NaN NaN NaN NaN NaN NaN NaN
0.000000e+00 4.882384e+16 4.027687e+16 NaN NaN NaN NaN NaN NaN NaN NaN
