V d42 V1 d61a d61c d64a d64b
-1.200000e+00 1.824501e+17 -1.200000e+00 2.049557e+18 1.000223e+18 1.126228e+18 7.645732e+17
-1.100000e+00 1.670289e+17 -1.000000e+00 1.934880e+18 8.601416e+17 1.031556e+18 6.259607e+17
-1.000000e+00 1.502247e+17 -8.000000e-01 1.505463e+18 7.234609e+17 8.075838e+17 5.180612e+17
-9.000000e-01 1.342162e+17 -6.000000e-01 1.132101e+18 5.745790e+17 6.268243e+17 4.210988e+17
-8.000000e-01 1.175759e+17 -4.000000e-01 7.569834e+17 4.535937e+17 4.520360e+17 3.246161e+17
-7.000000e-01 1.024784e+17 -2.000000e-01 5.534800e+17 3.049191e+17 2.508851e+17 2.133011e+17
-6.000000e-01 8.944307e+16 0.000000e+00 3.220809e+17 1.832484e+17 2.246883e+17 1.278290e+17
-5.000000e-01 7.878746e+16 NaN NaN NaN NaN NaN
-4.000000e-01 6.730044e+16 NaN NaN NaN NaN NaN
-3.000000e-01 5.666031e+16 NaN NaN NaN NaN NaN
-2.000000e-01 4.622486e+16 NaN NaN NaN NaN NaN
-1.000000e-01 3.703523e+16 NaN NaN NaN NaN NaN
0.000000e+00 3.034525e+16 NaN NaN NaN NaN NaN
