V d42 V1 d61a d61c d64a d64b
-1.200000e+00 2.341143e-09 -1.200000e+00 6.985058e-10 9.998886e-10 9.422951e-10 1.143643e-09
-1.100000e+00 2.446832e-09 -1.000000e+00 7.189074e-10 1.078239e-09 9.845857e-10 1.263940e-09
-1.000000e+00 2.580057e-09 -8.000000e-01 8.150138e-10 1.175689e-09 1.112772e-09 1.389343e-09
-9.000000e-01 2.729591e-09 -6.000000e-01 9.398474e-10 1.319244e-09 1.263069e-09 1.541019e-09
-8.000000e-01 2.916358e-09 -4.000000e-01 1.149362e-09 1.484795e-09 1.487351e-09 1.755153e-09
-7.000000e-01 3.123805e-09 -2.000000e-01 1.344154e-09 1.810955e-09 1.996469e-09 2.165227e-09
-6.000000e-01 3.343695e-09 0.000000e+00 1.762047e-09 2.336038e-09 2.109647e-09 2.796954e-09
-5.000000e-01 3.562636e-09 2.000000e-01 2.676202e-09 3.660313e-09 3.421336e-09 3.380852e-09
-4.000000e-01 3.854704e-09 4.000000e-01 9.604371e-09 1.028226e-08 7.255465e-09 5.261976e-09
-3.000000e-01 4.201076e-09 NaN NaN NaN NaN NaN
-2.000000e-01 4.651170e-09 NaN NaN NaN NaN NaN
-1.000000e-01 5.196279e-09 NaN NaN NaN NaN NaN
0.000000e+00 5.740565e-09 NaN NaN NaN NaN NaN
1.000000e-01 6.246698e-09 NaN NaN NaN NaN NaN
2.000000e-01 6.959892e-09 NaN NaN NaN NaN NaN
3.000000e-01 1.101407e-08 NaN NaN NaN NaN NaN
