ND320 D320 ND320uP D320uP ND320uR D320uR ND360 D360 ND360uP D360uP ND520 D520 ND520uP D520uP ND520uR D520uR ND560 D560 ND560uP D560uP
d31 -0.040791 d42 0.181034 d84a 0.129926 d33a 0.697793 d34 0.532358 d43s -0.223064 d44s 0.198792 d81a 0.219839 d71a -0.220079 d72a 0.004470
d41 0.397965 d61a 0.185463 d84b 0.083046 d33b -0.458072 NaN NaN d43b 0.341373 d44b 0.662647 d81b 0.351067 d71b 0.695910 d72b 0.293781
d63a 0.080267 d61c 0.282030 NaN NaN d35 0.558640 NaN NaN d51a -0.004184 d52a 0.150030 d81c 0.073507 NaN NaN d72c 0.233162
d63b 0.137751 d64a 0.208269 NaN NaN NaN NaN NaN NaN d51b -1.002355 d52b -0.088690 NaN NaN NaN NaN NaN NaN
d83a 0.133772 d64b 0.244023 NaN NaN NaN NaN NaN NaN d51c -0.151727 d54a 4.558855 NaN NaN NaN NaN NaN NaN
d83b 0.144850 NaN NaN NaN NaN NaN NaN NaN NaN d51d -3.516221 d54b -0.142368 NaN NaN NaN NaN NaN NaN
d62a 0.143837 NaN NaN NaN NaN NaN NaN NaN NaN d73a 0.077404 d54c 0.092069 NaN NaN NaN NaN NaN NaN
d62b 0.262716 NaN NaN NaN NaN NaN NaN NaN NaN d73b -0.019441 d74a 0.132281 NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN d73c 0.234822 d74b 0.129382 NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN d82a 0.131237 NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN d82b -1.947684 NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN d53a 0.131932 NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN d53b 0.204636 NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN d53c 0.265092 NaN NaN NaN NaN NaN NaN NaN NaN
